n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
69000,806792,773063,808792,758889,765876,1020949,751231,795964,721017,900367,849878,845966,769434,797888,803943,1024390,760248,703672,812154,801555,705100,735904,849123,871159,829024,902287,863252,759189,818086,723559,809479,826437,828693,733843,747394,733405,684865,759044,734821,743305,717174,681126,844319,761712,677132,872826,744275,869640,722662,661668
70000,686652,914149,785795,979586,833404,739525,911293,790231,752532,866789,819579,1214774,820489,773207,795764,723667,867811,814028,678733,818982,725541,832010,725803,767675,707590,812602,767947,870705,979775,696272,825917,747188,878210,786415,844342,916660,723515,745539,743591,1030844,722114,735243,762826,801839,764638,771542,817586,737577,778280,713217
71000,672780,864785,832394,870300,834824,881445,792200,736167,805087,944472,788430,755596,785015,802559,739296,783894,887135,767229,789743,799417,1009135,802047,842247,1115057,841778,924719,779076,1067884,789203,906648,806715,912474,807545,746948,822795,856330,815880,754498,854811,895810,903049,830260,893031,817782,688876,1167796,739036,982804,771872,848034
72000,831608,853501,916734,992698,770467,890656,795004,766458,901675,1001014,945705,741407,810371,894750,716134,773266,1171799,930663,828101,819755,829528,750370,835188,704300,845240,819521,948895,968541,750756,775141,739109,896115,775425,818301,800638,888843,850203,798370,764329,905365,791374,884408,718650,780885,792120,806214,728911,750297,825601,910352
73000,753154,863806,783617,879372,923085,1066515,799697,971549,922981,944856,861631,859933,922553,819473,944252,781289,828154,946389,745019,881611,979286,723034,840268,721328,951001,808408,768702,720473,917224,1245811,901307,766315,1049116,811752,842074,771730,925055,796662,922630,729362,965576,743790,1040772,1044044,902661,784226,735543,921776,725537,776058
74000,778065,892921,820968,930799,952717,916694,851684,924886,791937,910881,869188,785275,873976,811110,757834,1008534,875039,940946,1032910,1009806,837905,909895,823878,846113,868675,970536,855129,826358,872529,978524,861257,743169,837963,736849,925781,857540,891353,907756,898248,892601,841906,1058403,788016,781486,782338,840785,863985,930321,1066932,789030
75000,819462,798378,873348,809361,760199,848579,780130,813342,876665,932182,777629,1049266,950098,876066,827436,958417,847485,872119,786598,723445,785912,834031,737791,803249,890326,818529,796489,1005098,870178,909959,820778,1028449,755628,822923,1167942,803655,999066,944396,803176,836473,889861,774589,847952,777955,867357,806114,978837,803808,858061,888497
76000,877435,1043232,1012137,1124723,1145018,986210,773392,897444,1022876,945754,948587,963842,980131,851134,886956,887641,886506,1012195,1017656,946718,887754,766612,772317,885008,798094,835857,1048161,1018121,1000468,937257,879734,792481,969584,871266,1031988,775976,842257,983085,1103849,885721,834662,869526,878072,1082532,793484,838736,1074493,1018787,918505,766042
77000,903161,845784,856839,908770,995022,1036376,817825,1141260,855479,803802,901412,873121,952947,832645,765888,977958,868753,927883,804286,997846,990672,942379,798984,903281,871064,850747,967103,716231,1068806,1052599,1011428,962379,952077,922338,899587,869313,870584,871327,875407,830452,971168,913852,748835,938051,888253,871249,892052,919715,838272,1005428
78000,927904,934379,811411,1008165,867023,787994,934503,914674,774728,874393,902649,805390,987900,1032501,900058,849617,997437,1047716,994643,863479,996271,755199,1093934,951996,1126665,860852,929124,940818,765018,834736,908887,825331,941490,1015420,885833,796176,936692,961305,988831,978202,916414,913523,946016,713724,806064,878304,874073,1077378,903297,824460
